round,global_loss,global_accuracy,global_auc,global_precision,global_recall,client_1_loss,client_2_loss,client_3_loss
1,0.10393772274255753,0.984000027179718,0.7001468539237976,0.0,0.0,0.10070407390594482,0.10742445290088654,0.06288965046405792
2,0.09313569217920303,0.984000027179718,0.8593326807022095,0.0,0.0,0.0851626843214035,0.08404799550771713,0.054670777171850204
3,0.07863391935825348,0.984000027179718,0.9477049112319946,0.0,0.0,0.07443494349718094,0.08644743263721466,0.04367705434560776
4,0.06689425557851791,0.984000027179718,0.9716435670852661,0.0,0.0,0.07322704792022705,0.07395963370800018,0.043423835188150406
5,0.05925482138991356,0.984000027179718,0.9820178747177124,0.0,0.0,0.06493836641311646,0.06956248730421066,0.03956689313054085
6,0.05351831391453743,0.984000027179718,0.9889764189720154,0.0,0.0,0.0551782064139843,0.049408912658691406,0.03368402644991875
7,0.04640950635075569,0.984000027179718,0.9934366941452026,0.0,0.0,0.050784286111593246,0.0551382414996624,0.029887335374951363
8,0.04531330242753029,0.9853333234786987,0.9936484098434448,1.0,0.0833333358168602,0.05117617920041084,0.04511505365371704,0.03409361466765404
9,0.03316392004489899,0.9926666617393494,0.9966971278190613,0.9333333373069763,0.5833333134651184,0.04372420534491539,0.04448861628770828,0.028560513630509377
10,0.04170910269021988,0.9866666793823242,0.9956668019294739,0.8333333134651184,0.2083333283662796,0.030659133568406105,0.040010716766119,0.027534237131476402
